Frequency [Hz],PSD [microns/s^2]^2/Hz
0.207044268494523,2.6894305700507e-19
0.207426086053996,2.67924554967035e-19
0.207808607736552,2.6691198619668e-19
0.20819183484069,2.65905331699407e-19
0.208575768667302,2.64904572566456e-19
0.208960410519679,2.63909689974536e-19
0.209345761703516,2.62920665185449e-19
0.209731823526917,2.61937479545735e-19
0.210118597300396,2.60960114486317e-19
0.210506084336886,2.59988551522146e-19
0.21089428595174,2.59022772251866e-19
0.211283203462736,2.5806275835746e-19
0.211672838190084,2.57108491603926e-19
0.212063191456427,2.56159953838936e-19
0.212454264586848,2.55217126992508e-19
0.212846058908874,2.54279993076678e-19
0.21323857575248,2.53348534185181e-19
0.213631816450092,2.52422732493121e-19
0.214025782336595,2.51502570256659e-19
0.214420474749335,2.50588029812694e-19
0.214815895028124,2.49679093578548e-19
0.215212044515246,2.48775744051658e-19
0.215608924555459,2.47877963809257e-19
0.216006536496002,2.46985735508077e-19
0.216404881686598,2.46099041884029e-19
0.216803961479458,2.45217865751911e-19
0.217203777229288,2.44342190005097e-19
0.217604330293292,2.43471997615238e-19
0.218005622031178,2.42607271631961e-19
0.218407653805158,2.4174799518257e-19
0.21881042697996,2.40894151471749e-19
0.219213942922827,2.40045723781269e-19
0.219618203003523,2.39202695469686e-19
0.220023208594339,2.3836504997206e-19
0.220428961070096,2.37532770799649e-19
0.220835461808151,2.36705841539629e-19
0.221242712188399,2.35884245854798e-19
0.221650713593284,2.35067967483294e-19
0.222059467407794,2.34256990238303e-19
0.222468975019475,2.33451298007772e-19
0.222879237818432,2.32650874754131e-19
0.22329025719733,2.31855704514001e-19
0.223702034551406,2.31065771397919e-19
0.224114571278467,2.3028105959005e-19
0.224527868778901,2.2950155334791e-19
0.224941928455675,2.28727237002088e-19
0.225356751714347,2.27958094955963e-19
0.225772339963063,2.27194111685431e-19
0.226188694612569,2.26435271738626e-19
0.226605817076211,2.25681559735647e-19
0.227023708769942,2.24932960368279e-19
0.227442371112325,2.24189458399727e-19
